latitude,longitude
12.7714,77.8462
12.330143,78.365564
9.804847,77.328567
12.616997,79.754406
12.538733,77.802027
8.174288,77.393166
10.811572,78.67743
12.827345,80.003183
8.247694,77.31359
10.857324,78.691306
12.6705859,79.3024805
12.828832,79.845157
8.178317,77.257814
10.6065361,78.425515
13.014249,80.174488
9.82419,77.674403
10.879084,78.818362
8.083427,77.546851
9.865712,77.69469
8.264779,77.443957
8.310364,77.212433
25.248563,73.522278
10.915155,78.701111
25.275158,73.568247
10.949798,78.444909
11.033341,78.672181
25.2055042,73.4783569
25.735755,78.95747
10.989635,78.335861
11.151799,78.611609
9.5483949,78.5916335
10.386254,78.379037
12.580272,80.06357
10.75372,78.823503
12.719536,79.895111
13.0229,80.119206
12.965812,80.08124
12.887765,79.997773
12.853532,79.982213
13.018867,80.096397
12.944958,80.036374
13.009031,80.089592
12.2408,79.6521
13.003346,80.112107
12.967765,80.086161
12.779342,79.936059
12.72872,78.956705
8.229349,77.241408
8.372355,77.299393
10.525131,79.636175
8.365633,77.241472
9.548198,78.600315
28.531383,76.254117
28.531383,76.254117
10.87187,79.572987
28.533645,76.22958
28.523871,76.272218
28.531383,76.254117
28.4,76.54
28.49,76.59
0,0
29.22867,76.165515
29.22867,76.165515
29.0363,76.182527
0,0
29.25706,76.205534
12.664462,79.292249
12.507078,79.605061
22.3141,88.66005
22.31625549,82.69454148
8.6901,77.6665
8.7058,77.7097
8.71176,77.75168
8.72918,77.769526
8.863105,77.45757
10.077058,77.75627
10.80842,78.690696
10.130314,77.681837
10.127061,77.786207
10.828717,78.694757
10.448744,77.522487
10.857144,78.692019
10.817188,78.693089
11.41,76.950841
10.785447,78.698991
10.824449,78.67367
9.703924,77.749251
11.269556,76.642715
10.825898,78.70113
9.937455,77.865864
11.3530022,76.7959095
10.0731315,78.7801544
10.020027,78.024533
10.807554,78.700065
10.037581,77.925778
10.795682,78.677639
12.92422,79.12848
12.90413,79.12645
12.910904,79.13909
24.368122,73.49811
10.111246,78.593552
13.111585,79.431005
20.7088,81.5399
10.818592,78.698015
10.761434,78.709208
9.838867,78.47892
10.787709,78.737883
12.915465,79.134226
10.853727,78.700787
9.950676,78.814573
9.693712,78.459108
10.777747,78.676319
9.8259645,78.257581
9.627042,78.62576
10.824324,78.679253
10.182038,78.433778
10.823099,78.669658
10.268708,78.591366
10.105281,78.824107
10.161898,78.787288
9.5024,78.0966
9.934868,78.118967
9.5889,77.9622
9.5358,78.2035
28.4,76.57
0,0
9.50758,77.634759
12.3277147,79.1751134
12.4066529,79.0682448
9.4612,77.7865
28.232,76.996
9.6733,78.0964
10.030027,78.337691
9.824828,77.986623
26.27,88.2
9.734701,77.78891
10.088672,77.959503
9.428575,77.799809
10.022023,10.022023
9.962389,77.78846
9.3532,77.9203
9.926324,78.134513
9.433732,77.788119
9.960881,78.11146
9.882805,78.117956
9.915952,78.125554
22.3640629,82.74420405
9.824828,77.986623
9.964739,77.787888
10.030027,78.337691
28.237,76.911
28.076,77.105
24.143841,73.824997
12.369682,79.113082
24.291213,73.845267
26.7278,83.66044
11.275957,77.587193
11.450614,77.681761
13.306472,79.134363
11.427481,77.557048
8.6827,77.564
8.2689,77.6861
8.71176,77.75168
8.7027,77.4575
8.7058,77.7097
8.988887,77.247808
12.66856,79.284188
12.26938,79.056306
12.397285,79.297739
12.333125,79.472238
9.2813479,78.4776312
12.347719,79.206229
9.3017461,78.4602749
9.285703,78.591811
12.04377,79.161959
9.280122,78.578993
9.3026165,78.5310324
12.328305,79.083973
12.327878,79.175608
12.307457,78.791228
12.406434,79.791228
12.306472,79.134363
0,0
8.950066,77.29861
12.250018,78.974605
12.383686,79.974605
12.426939,79.120581
12.368342,79.106458
12.426939,79.120581
12.319833,79.085524
12.3923,79.097439
12.276009,79.129283
12.347719,79.206229
0,0
0,0
12.649993,79.540763
10.774355,77.314357
13.07727,80.242648
10.859897,77.444174
10.830168,77.587208
8.957038,77.279242
10.82016,77.477241
10.862642,77.486111
10.774588,77.428232
10.823516,77.371345
10.851674,77.44239
10.8322,77.5863
24.05,73.85
0,0
27.505444,76.108075
26.914099,75.891155
10.883979,79.109625
26.987732,75.584433
10.758877,79.107032
24.14,73.83
27.081869,75.617899
10.785554,79.136576
26.880448,75.928905
24.14,73.82
26.939618,75.612631
27.50709,77.18189
26.964761,75.626628
10.96929,79.385643
26.925617,75.657249
10.421209,79.317932
13.095,80.219
10.629474,79.253017
13.167947,80.303681
13.122638,80.28712
13.0712995,80.2589269
13.06075,80.275625
12.5087,79.1236
12.3041,78.796
10.925906,79.263456
10.995025,79.449576
10.895715,79.189956
10.91976,79.443902
11.014612,79.484633
24.14,73.82
24.29,73.83
12.109,78.8365
13.035,80.20916
12.434509,79.1042138
13.105014,80.2867034
10.378785,78.81766
13.1084289,80.2888
12.225453,79.064742
12.5046,79.613
12.664,79.5405
12.6691,79.2806
10.342295,79.383345
10.288546,79.202199
10.848981,78.953612
11.090723,79.452719
13.081089,80.277719
13.074103,80.2592506
11.4559,77.429561
11.581085,77.586961
24.6,76.15
13.1488,76.5149
24.6,76.15
25.8295535,73.852198
25.7710893,73.32344771
23.805575,79.083581
25.7710893,73.323447
25.7710893,73.3234477
25.7518147,73.5623
25.8877906,73.872
12.8428,79.1369
8.2009373,77.7103148
11.216753,78.168904
10.962276,78.0808
11.279963,78.234965
10.771923,77.90941
8.4909,77.6594
10.724158,77.891775
11.461089,78.185172
11.108557,78.009078
11.376497,77.894269
11.0277,78.0645
11.360862,77.747712
11.073477,78.001964
11.443769,77.694568
8.3852,77.6112
10.931922,78.273897
8.435019,77.5618953
10.942489,78.414457
11.502293,77.258252
19.671119,74.50299
19.524707,74.418898
19.761988,74.426923
19.539133,74.534011
19.802984,74.47027
19.684575,74.576411
19.707969,74.479993
19.576612,74.467664
19.766435,74.616186
10.244596,78.746204
10.57242,78.78618
10.517798,78.620013
10.456612,78.70245
10.326425,78.817992
10.16961,79.001709
10.3589203,78.976
10.573211,79.015619
10.458987,79.134224
10.087452,79.030603
10.039086,79.231509
10.175475,79.132879
11.339147,77.717663
11.081962,77.8844
11.64596056,77.97389222
20.215253,77.294533
12.944917,80.134969
21.3353283,78.2839186
11.58392,77.838436
11.581778,77.8484474
19.6698714,73.253378
20.316926,74.49
19.62377,74.540584
21.0711219,80.088959
21.0711219,80.088959
19.312945,75.533066
19.790994,79.495547
0,0
19.790994,79.495547
19.804632,79.462282
19.865994,79.491808
8.174442,77.250069
8.318795,77.207686
8.251844,77.32544
8.193295,77.42542
8.178602,77.436813
8.161552,77.4391
8.300579,77.237767
8.353727,77.18569
8.324296,77.186696
10.261153,78.945367
10.388341,78.824781
12.2384,79.074
12.225263,79.063476
12.226249,79.082814
12.352267,80.002738
19.154756,77.311493
26.724859,73.932899
26.671301,73.744392
12.834174,79.70364
26.21,77.13
12.510217,79.884935
12.613622,79.756811
13.116245,80.103624
12.933123,79.9196
12.617376,80.179581
12.606989,80.058822
78,26.5
78,26.5
78,26.5
18.8067164,75.7807525
19.4333064,72.8230514
19.444074,72.799831
19.4133202,72.824735
19.4743144,72.8144829
13.3898,76.0471
19.4489286,72.8176756
19.4224517,72.819722
19.4193251,72.8109184
19.4326364,72.8532995
19.3659578,72.8153033
19.4267082,72.8440229
19.3593021,72.8741383
19.3492218,72.9110974
19.4234484,72.8265995
19.4234484,72.8265995
19.4069099,72.8663021
11.187775,79.291076
11.252714,79.180518
